,item_name,main_category,sub_category,receipt_id,date,item_code,quantity,payment_type,unit_buying_price,unit_selling_price,unit_price_margin,category,total_buying_price,total_selling price,total_margin,year,quarter,month,day_of_week,hour_of_day,quantity_type,investment,revenue,profit
0,1kg olive pack,Fresh produce,Other vegies,10,10,1,9.088000000000001,2,10.0,1,3.0099999999999993,1,2,2,2,1,2,4,7,5,1,63.52512000000001,90.88,27.354879999999994
1,1lt coconut oil,Pantry staples,Oil,25,25,1,80.0,2,14.0,1,13.720000000000011,1,6,6,6,1,2,3,7,10,3,22.4,1120.0,1097.6000000000004
2,1lt coconut oil ver,Pantry staples,Oil,9,9,1,10.0,2,14.0,1,14.0,1,1,2,2,1,4,5,4,7,2,0.0,140.0,140.0
3,2kg marsh grapefruit,Fresh produce,Citrus fruits,137,137,1,141.0,2,5.0,1,2.0,1,2,2,2,2,4,11,7,21,2,423.0,705.0,282.0
4,2kg royal gala apple,Fresh produce,Apples,60,60,1,60.0,2,4.5,1,4.5,1,1,1,1,2,4,6,7,19,1,0.0,270.0,270.0
5,3kg marsh grapefruit,Fresh produce,Citrus fruits,31,31,1,31.0,2,4.99,1,1.9900000000000007,1,1,1,1,2,4,8,7,10,1,93.0,154.69,61.69000000000002
6,3kg valencia oranges,Fresh produce,Citrus fruits,988,988,1,1035.0,2,4.5,1,2.5,1,5,5,5,2,3,8,7,24,2,2070.0,4657.5,2587.5
7,Adelaide tomatoes,Fresh produce,Tomatoes,7,7,1,3.0300000000000002,2,7.990000000000001,1,7.990000000000001,1,1,8,8,1,1,2,5,5,1,0.0,24.2097,24.2097
8,Adzuki beans 500g,Pantry staples,Grains and pulses,66,66,1,68.0,2,2.6899999999999986,1,0.6899999999999996,1,2,2,2,2,4,12,7,19,2,136.0,182.9199999999999,46.91999999999998
9,Afourer mandarin,Fresh produce,Citrus fruits,469,469,1,343.3180000000003,2,2.5,1,1.5,1,322,322,322,2,3,5,7,12,2,343.3180000000003,858.2950000000004,514.9770000000001
10,Al nakhil tahina 454g,Pantry staples,Grains and pulses,43,43,1,45.0,2,4.990000000000003,1,0.9900000000000001,1,1,1,1,2,4,12,7,10,1,180.0,224.55000000000013,44.550000000000004
11,Alfa alfa,Fresh produce,Other vegies,118,118,1,120.0,2,2.4000000000000012,1,2.4000000000000012,1,1,2,2,2,4,12,7,16,2,0.0,288.0000000000001,288.0000000000001
12,Almond bread,Breads & bakery,Sweet bread,16,16,1,17.0,2,5.090909091,1,0.8009090909999999,1,2,2,2,2,4,8,7,7,2,72.93,86.545454547,13.615454546999999
